round,nome,abreviacao,posicao,pontos
9,Alexander Albon,ALB,8,42
9,Isack Hadjar,HAD,9,21
9,Esteban Ocon,OCO,10,20
9,Nico Hülkenberg,HUL,11,16
9,Lance Stroll,STR,12,14
9,Carlos Sainz,SAI,13,12
9,Pierre Gasly,GAS,14,11
9,Yuki Tsunoda,TSU,15,10
9,Oliver Bearman,BEA,16,6
9,Liam Lawson,LAW,17,4
9,Fernando Alonso,ALO,18,2
9,Gabriel Bortoleto,BOR,19,0
9,Jack Doohan,DOO,20,0
9,Franco Colapinto,COL,21,0
10,Oscar Piastri,PIA,1,198
10,Lando Norris,NOR,2,176
10,Max Verstappen,VER,3,155
10,George Russell,RUS,4,136
10,Charles Leclerc,LEC,5,104
10,Lewis Hamilton,HAM,6,79
10,Kimi Antonelli,ANT,7,63
10,Alexander Albon,ALB,8,42
10,Esteban Ocon,OCO,9,22
10,Isack Hadjar,HAD,10,21
10,Nico Hülkenberg,HUL,11,20
10,Lance Stroll,STR,12,14
10,Carlos Sainz,SAI,13,13
10,Pierre Gasly,GAS,14,11
10,Yuki Tsunoda,TSU,15,10
10,Fernando Alonso,ALO,16,8
10,Oliver Bearman,BEA,17,6
10,Liam Lawson,LAW,18,4
10,Gabriel Bortoleto,BOR,19,0
10,Franco Colapinto,COL,20,0
10,Jack Doohan,DOO,21,0
11,Oscar Piastri,PIA,1,216
11,Lando Norris,NOR,2,201
11,Max Verstappen,VER,3,155
11,George Russell,RUS,4,146
11,Charles Leclerc,LEC,5,119
11,Lewis Hamilton,HAM,6,91
11,Kimi Antonelli,ANT,7,63
11,Alexander Albon,ALB,8,42
11,Esteban Ocon,OCO,9,23
11,Nico Hülkenberg,HUL,10,22
11,Isack Hadjar,HAD,11,21
11,Lance Stroll,STR,12,14
11,Fernando Alonso,ALO,13,14
11,Carlos Sainz,SAI,14,13
11,Liam Lawson,LAW,15,12
11,Pierre Gasly,GAS,16,11
11,Yuki Tsunoda,TSU,17,10
11,Oliver Bearman,BEA,18,6
11,Gabriel Bortoleto,BOR,19,4
11,Franco Colapinto,COL,20,0
11,Jack Doohan,DOO,21,0
12,Oscar Piastri,PIA,1,234
12,Lando Norris,NOR,2,226
12,Max Verstappen,VER,3,165
12,George Russell,RUS,4,147
12,Charles Leclerc,LEC,5,119
12,Lewis Hamilton,HAM,6,103
12,Kimi Antonelli,ANT,7,63
12,Alexander Albon,ALB,8,46
12,Nico Hülkenberg,HUL,9,37
12,Esteban Ocon,OCO,10,23
12,Isack Hadjar,HAD,11,21
12,Lance Stroll,STR,12,20
12,Pierre Gasly,GAS,13,19
12,Fernando Alonso,ALO,14,16
12,Carlos Sainz,SAI,15,13
12,Liam Lawson,LAW,16,12
12,Yuki Tsunoda,TSU,17,10
12,Oliver Bearman,BEA,18,6
12,Gabriel Bortoleto,BOR,19,4
12,Franco Colapinto,COL,20,0
12,Jack Doohan,DOO,21,0
13,Oscar Piastri,PIA,1,266
13,Lando Norris,NOR,2,250
13,Max Verstappen,VER,3,185
13,George Russell,RUS,4,157
13,Charles Leclerc,LEC,5,139
13,Lewis Hamilton,HAM,6,109
13,Kimi Antonelli,ANT,7,63
13,Alexander Albon,ALB,8,54
13,Nico Hülkenberg,HUL,9,37
13,Esteban Ocon,OCO,10,27
13,Isack Hadjar,HAD,11,22
13,Pierre Gasly,GAS,12,20
13,Lance Stroll,STR,13,20
13,Liam Lawson,LAW,14,16
13,Fernando Alonso,ALO,15,16
13,Carlos Sainz,SAI,16,16
13,Yuki Tsunoda,TSU,17,10
13,Oliver Bearman,BEA,18,8
13,Gabriel Bortoleto,BOR,19,6
13,Franco Colapinto,COL,20,0
13,Jack Doohan,DOO,21,0
14,Oscar Piastri,PIA,1,284
14,Lando Norris,NOR,2,275
14,Max Verstappen,VER,3,187
14,George Russell,RUS,4,172
14,Charles Leclerc,LEC,5,151
14,Lewis Hamilton,HAM,6,109
14,Kimi Antonelli,ANT,7,64
14,Alexander Albon,ALB,8,54
14,Nico Hülkenberg,HUL,9,37
14,Esteban Ocon,OCO,10,27
14,Fernando Alonso,ALO,11,26
14,Lance Stroll,STR,12,26
14,Isack Hadjar,HAD,13,22
14,Pierre Gasly,GAS,14,20
14,Liam Lawson,LAW,15,20
14,Carlos Sainz,SAI,16,16
14,Gabriel Bortoleto,BOR,17,14
14,Yuki Tsunoda,TSU,18,10
14,Oliver Bearman,BEA,19,8
14,Franco Colapinto,COL,20,0
14,Jack Doohan,DOO,21,0
